sp	matK	rbcL	ndhF	trnL-F	ITS
S-86	S-87	S-85	S-85	FAIL	S-85
S-87	S-62	S-69	S-65	S-89	S-90
S-88	S-62	S-87	S-67	S-80	S-81
S-89	S-67	S-87	S-67	S-87	S-86
S-90	FAIL	S-100	S-85	FAIL	S-87
S-91	S-100	S-98	S-99	S-95	S-99
S-92	S-96	S-100	S-96	FAIL	S-99
S-93	FAIL	FAIL	FAIL	FAIL	S-100
S-94	S-96	S-100	S-96	S-99	S-95
S-95	S-96	S-98	S-96	S-91	S-94
S-96	S-100	S-100	S-91	S-98	S-95
S-97	S-100	S-100	S-94	FAIL	S-98
S-98	S-100	S-95	S-91	S-96	S-99
S-99	S-100	S-100	S-91	S-94	S-92
S-100	S-99	S-99	S-96	S-98	S-98
